date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:55	95908/95908	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:23%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_publico	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_publico.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:55	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:24%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_comercial	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_comercial	(from https://urepublicana.edu.co/pages/index.php)
22:42:56	97456/97456	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:24%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_comercial	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_comercial.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:56	296/296	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:24%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_revisoria_fiscal	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_revisoria_fiscal	(from https://urepublicana.edu.co/pages/index.php)
22:42:57	96587/96587	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:25%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_revisoria_fiscal	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_revisoria_fiscal.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:57	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:25%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_de_familia	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_de_familia	(from https://urepublicana.edu.co/pages/index.php)
22:42:57	96211/96211	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:25%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_de_familia	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_de_familia.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:57	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:25%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_tributario	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_tributario	(from https://urepublicana.edu.co/pages/index.php)
22:42:58	97053/97053	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:26%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_tributario	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_tributario.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:58	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:26%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializcion_en_gerencia_financiera	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializcion_en_gerencia_financiera	(from https://urepublicana.edu.co/pages/index.php)
22:42:59	96668/96668	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:27%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializcion_en_gerencia_financiera	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializcion_en_gerencia_financiera.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:59	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:27%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_urbanistico	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_urbanistico	(from https://urepublicana.edu.co/pages/index.php)
22:42:59	96280/96280	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:27%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_urbanistico	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_urbanistico.html	(from https://urepublicana.edu.co/pages/index.php)
22:42:59	300/300	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:27%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_contratacion_estatal	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_contratacion_estatal	(from https://urepublicana.edu.co/pages/index.php)
22:43:00	96986/96986	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:28%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_contratacion_estatal	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_contratacion_estatal.html	(from https://urepublicana.edu.co/pages/index.php)
22:43:00	310/310	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:28%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_notarial_y_de_registro	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_notarial_y_de_registro	(from https://urepublicana.edu.co/pages/index.php)
22:43:01	309/309	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Nov%202024%2003:42:29%20GMT	http://urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_financiero_y_bursatil	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/Especializacion_en_derecho_financiero_y_bursatil	(from https://urepublicana.edu.co/pages/index.php)
22:43:01	97130/97130	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2003:42:29%20GMT	https://urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_notarial_y_de_registro	C:/Mis%20lugares%20Web/Prueba/urepublicana.edu.co/pages/programas/Posgrado/especializacion_en_derecho_notarial_y_de_registro.html	(from https://urepublicana.edu.co/pages/index.php)
